Cultivars;Niv. de sens.;Trait;Al;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Experience
GOR;Faible;inoc;14;9790;8;50;44544;2529;174;1984;4797;1879;73;3
GOR;Faible;inoc;17;9536;6;60;48356;2782;188;2158;5216;2150;73;3
GOR;Faible;inoc;14;8394;6;49;39212;2548;153;2073;4495;1861;64;3
GOR;Faible;inoc;11;8688;7;51;43212;2555;167;1830;4597;1936;72;3
CHI;Faible;inoc;16;10014;7;58;49867;2772;173;2940;5398;2332;73;3
CHI;Faible;inoc;16;11229;6;54;46339;2872;177;2650;4807;2157;69;3
CHI;Faible;inoc;15;10829;8;54;41725;3022;180;2251;4764;2245;67;3
CHI;Faible;inoc;13;9689;7;50;39434;2585;152;2230;4528;1975;66;3
VIV;Faible;inoc;14;11777;7;58;50706;2830;154;2916;5275;2425;74;3
VIV;Faible;inoc;12;14096;7;57;56700;3103;205;2353;6072;2731;93;3
VIV;Faible;inoc;12;12104;7;53;44898;2699;166;2416;4846;2226;66;3
VIV;Faible;inoc;13;12357;7;52;40738;2492;173;2096;4338;2034;71;3
TUR;Moyen;inoc;21;12313;7;62;48243;3080;226;1963;4832;2154;80;3
TUR;Moyen;inoc;17;11659;7;58;50760;3045;229;2230;5212;2158;77;3
TUR;Moyen;inoc;13;8412;6;43;33761;2205;175;1681;3709;1552;59;3
TUR;Moyen;inoc;13;10196;6;47;41879;2579;190;1934;4427;1827;68;3
ROM;Moyen;inoc;17;14067;9;55;51043;3700;148;2534;6198;2423;78;3
ROM;Moyen;inoc;14;13219;8;53;45576;3491;186;2965;5707;2303;73;3
ROM;Moyen;inoc;12;13528;7;45;44340;3556;155;1994;5307;2279;67;3
ROM;Moyen;inoc;15;12139;6;48;36643;3143;131;1861;4691;1961;60;3
HOC;Élevé;inoc;16;8334;9;57;38356;2527;130;2376;5082;2044;76;3
HOC;Élevé;inoc;16;14304;10;62;60799;3261;169;2183;5993;2645;98;3
HOC;Élevé;inoc;18;10822;7;59;48667;2737;165;2511;5056;2147;76;3
HOC;Élevé;inoc;12;11455;8;61;41136;2518;151;2200;4360;1876;68;3
EST;Élevé;inoc;16;17422;10;70;54447;3477;154;2422;6283;2688;97;3
EST;Élevé;inoc;13;14561;9;65;49903;3346;149;2612;5799;2419;78;3
EST;Élevé;inoc;11;14754;9;59;46720;3203;157;2274;5063;2266;74;3
EST;Élevé;inoc;10;14189;8;57;42761;2948;138;2037;4872;2145;72;3
BRG;Élevé;inoc;17;13118;9;76;63382;3077;157;2829;6477;2900;90;3
BRG;Élevé;inoc;17;12042;10;66;55356;2884;153;2427;5750;2623;80;3
BRG;Élevé;inoc;13;13454;10;62;56108;2878;169;2730;5796;2584;84;3
BRG;Élevé;inoc;16;11995;9;66;44622;2716;180;2470;4651;2324;76;3
LIG;Élevé;inoc;18;14399;11;68;62746;3586;228;2102;7296;2679;102;3
LIG;Élevé;inoc;13;13406;8;62;60315;3585;237;2601;7302;2485;91;3
LIG;Élevé;inoc;14;13491;10;82;52032;3302;221;1843;5976;2280;84;3
LIG;Élevé;inoc;14;12921;9;87;51026;3412;216;2331;6114;2363;88;3
